note_nlp_id,note_id,lexical_variant,nlp_date
1,0,Nature,2024-03-05 20:54:07.128511
2,0,Senior,2024-03-05 20:54:07.128511
3,0,bed size,2024-03-05 20:54:07.128511
4,0,task,2024-03-05 20:54:07.128511
5,0,production,2024-03-05 20:54:07.128511
6,1,Accept,2024-03-05 20:54:07.128511
7,1,cold,2024-03-05 20:54:07.128511
8,1,Fine,2024-03-05 20:54:07.128511
9,1,sea,2024-03-05 20:54:07.128511
10,1,Increase,2024-03-05 20:54:07.128511
11,2,population,2024-03-05 20:54:07.128511
12,2,discussion,2024-03-05 20:54:07.128511
13,2,game,2024-03-05 20:54:07.128511
14,2,Experience,2024-03-05 20:54:07.128511
15,2,audience,2024-03-05 20:54:07.128511
16,2,Be,2024-03-05 20:54:07.128511
17,2,project,2024-03-05 20:54:07.128511
18,3,floor,2024-03-05 20:54:07.128511
19,3,budget,2024-03-05 20:54:07.128511
20,3,community,2024-03-05 20:54:07.128511
21,3,mother,2024-03-05 20:54:07.128511
22,3,Region,2024-03-05 20:54:07.128511
23,3,population standard,2024-03-05 20:54:07.128511
24,4,positive,2024-03-05 20:54:07.128511
25,4,consumer,2024-03-05 20:54:07.128511
26,4,bill,2024-03-05 20:54:07.128511
27,5,affect,2024-03-05 20:54:07.128511
28,6,Sister,2024-03-05 20:54:07.128511
29,6,chance,2024-03-05 20:54:07.128511
30,7,Read,2024-03-05 20:54:07.128511
31,7,natural,2024-03-05 20:54:07.128511
32,7,Kid,2024-03-05 20:54:07.128511
33,7,Agency,2024-03-05 20:54:07.128511
34,8,Mean,2024-03-05 20:54:07.128511
35,8,garden,2024-03-05 20:54:07.128511
36,8,information,2024-03-05 20:54:07.128511
37,8,office,2024-03-05 20:54:07.128511
38,8,network,2024-03-05 20:54:07.128511
39,8,gas,2024-03-05 20:54:07.128511
40,8,minute,2024-03-05 20:54:07.128511
41,9,Never,2024-03-05 20:54:07.128511
42,9,nature,2024-03-05 20:54:07.128511
43,9,lawyer,2024-03-05 20:54:07.128511
44,9,performance,2024-03-05 20:54:07.128511
45,10,Best,2024-03-05 20:54:07.128511
46,10,never,2024-03-05 20:54:07.128511
47,10,Phone,2024-03-05 20:54:07.128511
48,11,summer,2024-03-05 20:54:07.128511
49,11,Evidence,2024-03-05 20:54:07.128511
50,11,item,2024-03-05 20:54:07.128511
51,13,southern,2024-03-05 20:54:07.128511
52,13,consumer,2024-03-05 20:54:07.128511
53,14,Process,2024-03-05 20:54:07.128511
54,14,Employee,2024-03-05 20:54:07.128511
55,15,Rest,2024-03-05 20:54:07.128511
56,15,people,2024-03-05 20:54:07.128511
57,15,sea,2024-03-05 20:54:07.128511
58,16,Discover I,2024-03-05 20:54:07.128511
59,16,season,2024-03-05 20:54:07.128511
60,16,young,2024-03-05 20:54:07.128511
61,16,Gas,2024-03-05 20:54:07.128511
62,17,Experience,2024-03-05 20:54:07.128511
63,17,interview,2024-03-05 20:54:07.128511
64,17,operation,2024-03-05 20:54:07.128511
65,17,Factor,2024-03-05 20:54:07.128511
66,17,people,2024-03-05 20:54:07.128511
67,17,crime,2024-03-05 20:54:07.128511
68,17,young,2024-03-05 20:54:07.128511
69,18,Difficult,2024-03-05 20:54:07.128511
70,18,visit,2024-03-05 20:54:07.128511
71,18,company,2024-03-05 20:54:07.128511
72,18,western,2024-03-05 20:54:07.128511
73,18,manager,2024-03-05 20:54:07.128511
74,19,hair,2024-03-05 20:54:07.128511
75,19,garden,2024-03-05 20:54:07.128511
76,19,Front,2024-03-05 20:54:07.128511
77,19,mission,2024-03-05 20:54:07.128511
78,20,History,2024-03-05 20:54:07.128511
79,20,computer,2024-03-05 20:54:07.128511
80,20,stock,2024-03-05 20:54:07.128511
81,20,traditional,2024-03-05 20:54:07.128511
82,20,industry,2024-03-05 20:54:07.128511
